name,age,vintage,vol,ml,price
"Chichibu, Original BottlingSingle Cask (Ichiro´s Malt & Grain) b.2017One of 248 Bottles (Cask 4097)",,,59.10%,700,347 €July 2018
"Chichibu, Original BottlingLimited Edition (Ichiro´s Malt & Grain)",,,48.00%,700,181 €June 2019
"Chichibu, Original BottlingPremium (Ichiro´s Malt & Grain)",,,50.00%,700,420 €June 2019
"Chichibu, Original BottlingSingle Cask (Private Bottling) b.2014One of 322 Bottles (Cask 2625)",4,2010,59.70%,700,735 €February 2019
"Chichibu, Original BottlingChibidaru (Quarter Cask) b.2012(Cask 286)",3,2009,61.90%,700,580 €April 2018
"Chichibu, Original BottlingChibidaru (Quarter Cask) b.2014One of 6200 Bottles",4,2010,53.50%,700,429 €May 2019
"Chichibu, Original BottlingChibidaru (Quarter Cask) b.2013One of 3900 Bottles",4,2009,53.50%,700,582 €March 2019
"Chichibu, Original BottlingSingle Cask (Swedish Exclusive)One of 268 Bottles (Cask 1700)",,2012,62.40%,700,979 €June 2019
"Chichibu, Original BottlingSingle Cask (Takashimaya) b.2016(Cask 2641)",6,2010,59.00%,700,638 €August 2018
"Chichibu, Original BottlingSingle Cask (Takashimaya) b.2015One of 296 Bottles (Cask 2653)",5,2010,59.40%,700,576 €May 2018
"Chichibu, Original BottlingSingle Cask (Takashimaya) b.2016One of 249 Bottles (Cask 3291)",6,2010,57.40%,700,956 €April 2019
"Chichibu, Scotch Malt Whisky Society130.3 b.2017One of 200 Bottles",6,2011,59.60%,700,1018 €June 2019
"Chichibu, Scotch Malt Whisky Society130.1 b.2013One of 227 Bottles",4,2009,61.90%,700,1251 €March 2019
"Chichibu, Scotch Malt Whisky Society130.2 b.2018One of 191 Bottles",8,2010,60.90%,700,988 €June 2019
"Chichibu, ShinanoyaSingle Cask (Ichiro´s Malt) b.2017One of 260 Bottles (Cask 1370)",6,2011,61.30%,700,2142 €February 2019
"Fuji Gotemba, Kirin-Seagram",,,43.00%,760,38 €August 2018
"Fuji Gotemba, Original BottlingKirin Whisky",,,50.00%,600,64 €March 2019
"Fuji Gotemba, Original BottlingKirin Whisky",,,50.00%,700,31 €June 2019
"Fuji Gotemba, Original Bottling",18,,43.00%,700,185 €June 2019
"Fuji Gotemba, Original BottlingSingle Cask b.2013(Cask m814)",10,2003,47.00%,640,86 €September 2018
"Fuji Gotemba, Original BottlingBlender´s Choice 2014One of 500 Bottles",,2014,46.00%,500,103 €December 2018
"Fuji Gotemba, Original BottlingKirin Collection",,,43.00%,700,230 €January 2018
"Fuji Gotemba, Original BottlingBlender´s Choice (Single Grain Whisky)One of 420 Bottles",,,46.00%,500,100 €February 2018
"Fuji Gotemba, Original BottlingBlender´s Choice (Single Malt Whisky)One of 420 Bottles",,,46.00%,500,82 €December 2018
"Hakushu, Original BottlingDistillery Exclusive",,,43.00%,300,64 €March 2019
