name,age,vintage,vol,ml,price
"Glen Scotia, Original BottlingLegends of Scotia (2nd Edition)One of 6000 Bottles",,,68.00%,700,60 €April 2019
"Glen Scotia, Original BottlingCampbeltown Malt (Festival 2018) b.2018One of 234 Bottles",10,2008,57.80%,700,70 €June 2019
"Glen Scotia, Original Bottling (Festival 2019) b.2019",16,2003,51.30%,700,136 €June 2019
"Glen Scotia, Original Bottling (Old Style)",12,,40.00%,700,105 €January 2019
"Glen Scotia, Original BottlingLimited Edition (Swedish Exclusive)One of 726 Bottles",,2006,51.90%,700,58 €March 2019
"Glen Scotia, Original BottlingSingle Cask (Whisky Festival 2016) b.2016(Cask 624)",15,2001,57.10%,700,76 €May 2019
"Glen Scotia, Original BottlingSingle Cask (Whisky Festival 2017) b.2017(Cask 554)",16,2001,57.10%,700,96 €March 2019
"Glen Scotia, Prestonfield House b.2010One of 177 Bottles (Cask 2749)",33,1977,49.10%,700,515 €February 2019
"Glen Scotia, Rhein-Main-StammtischSingle Cask b.2011(Cask 6)",20,1991,53.10%,700,125 €March 2019
"Glen Scotia, Robert Scott & CoScott´s Selection b.2007",15,1992,57.20%,700,100 €January 2018
"Glen Scotia, Robert Scott & CoScott´s Selection b.2010",19,1991,58.70%,700,87 €December 2016
"Glen Scotia, SamaroliCoilltean b.2009One of 858 Bottles (Cask 3)",17,1992,45.00%,700,248 €June 2019
"Glen Scotia, Scone",,,40.00%,700,40 €April 2016
"Glen Scotia, Scotch Malt Whisky Society93.34One of 176 Bottles",16,,55.10%,700,126 €September 2017
"Glen Scotia, Scotch Malt Whisky Society93.78 b.2017One of 186 Bottles",25,1992,53.30%,700,245 €May 2019
"Glen Scotia, Scotch Malt Whisky Society93.22",14,,61.10%,700,60 €January 2013
"Glen Scotia, Scotch Malt Whisky Society93.69 b.2016One of 564 Bottles",14,2002,59.50%,700,88 €May 2018
"Glen Scotia, Scotch Malt Whisky Society93.99 b.2018One of 274 Bottles",15,2003,55.30%,700,98 €June 2019
"Glen Scotia, Scotch Malt Whisky Society93.74 b.2016One of 276 Bottles",15,2001,55.40%,700,82 €May 2019
"Glen Scotia, Scotch Malt Whisky Society93.70 b.2016One of 234 Bottles",17,1999,53.40%,700,199 €June 2019
"Glen Scotia, Scotch Malt Whisky Society93.68 b.2015One of 228 Bottles",13,2002,58.30%,700,84 €February 2017
"Glen Scotia, Scotch Malt Whisky Society93.62 b.2013One of 214 Bottles",14,1999,61.20%,700,97 €May 2017
"Glen Scotia, Scotch Malt Whisky Society93.97 b.2018One of 186 Bottles",11,2007,58.80%,700,90 €May 2019
"Glen Scotia, Scotch Malt Whisky Society93.67 b.2015One of 228 Bottles",13,2002,58.10%,700,84 €June 2016
"Glen Scotia, Scotch Malt Whisky Society93.2 b.1998",7,1991,65.20%,700,123 €September 2017
"Glen Scotia, Scotch Malt Whisky Society93.39One of 786 Bottles",10,,59.60%,700,51 €March 2013
"Glen Scotia, Scotch Malt Whisky Society93.106 b.2018One of 296 Bottles",13,2005,58.40%,700,119 €June 2019
"Glen Scotia, Scotch Malt Whisky Society93.93 b.2017One of 267 Bottles",16,2001,55.80%,700,103 €March 2019
"Glen Scotia, Scotch Malt Whisky Society93.46 b.2011One of 796 Bottles",12,1999,59.80%,700,96 €January 2016
"Glen Scotia, Scotch Malt Whisky Society93.35One of 220 Bottles",17,,58.90%,700,89 €November 2018
"Glen Scotia, Scotch Malt Whisky Society93.76 b.2016One of 218 Bottles",11,2005,61.00%,700,95 €May 2019
