age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
55.0,1943.0,1998.0,40.00%,700,2766.1200000000013,Glenlivet Private Collection,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Glenlivet,Glenlivet Private
18.0,1972.0,1990.0,43.00%,750,1850.37,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
46.0,1936.0,1982.0,40.00%,750,2697.3,Mortlach,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Mortlach,Mortlach
26.0,1990.0,2016.0,60.60%,700,2302.140000000001,Karuizawa Geisha Label,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Geisha
30.0,1986.0,2016.0,53.00%,700,2628.48,Shinshu Mars Komagatake,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Shinshu,Shinshu Mars
58.0,1948.0,2006.0,40.00%,700,2594.07,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Glen,Glen Grant
21.0,1963.0,1984.0,43.00%,750,1706.0700000000006,Glenlivet Chairman Reserve,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenlivet,Glenlivet Chairman
33.0,1973.0,2006.0,45.00%,700,1677.21,Dalmore Cabernet Sauvignon (Haut Marbuzet Finish),"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Dalmore,Dalmore Cabernet
28.0,1984.0,2012.0,59.30%,700,2244.42,Karuizawa Cockatil Series,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Cockatil
30.0,1976.0,2006.0,45.30%,700,1103.34,Macallan Single Cask,"Adelphi, Speyside Single Malt",Adelphi,Speyside,UK,Macallan,Macallan Single
,1938.0,,40.00%,750,2562.99,Macallan Pride of Strathspey (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan Pride
25.0,1991.0,2016.0,52.70%,700,2849.3700000000013,Lagavulin 200th Anniversary,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Lagavulin,Lagavulin 200th
,1967.0,,43.00%,700,2352.09,Glen Garioch,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Glen,Glen Garioch
25.0,1964.0,1989.0,43.00%,750,3308.910000000001,Macallan Anniversary Malt (Giovinetti and Figli),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan Anniversary
53.0,1939.0,1992.0,40.00%,700,2282.1600000000008,Linkwood,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Linkwood,Linkwood
18.0,1974.0,1992.0,43.00%,700,1509.6,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
40.0,1974.0,2014.0,40.80%,700,1555.11,Ladyburn 2014 Release,"Original Bottling, Lowlands Single Malt",Original Bottling,Lowlands,UK,Ladyburn,Ladyburn 2014
21.0,1952.0,1973.0,43.00%,750,2041.29,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt",Gordon & MacPhail,Islands,UK,Talisker,Talisker Connoisseurs
30.0,1968.0,1998.0,49.20%,700,1854.81,Glenfiddich Vintage Reserve,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenfiddich,Glenfiddich Vintage
,1967.0,,46.00%,750,2067.9300000000007,Springbank Prestonfield,"Pipe House, Campbeltown Single Malt",Pipe House,Campbeltown,UK,Springbank,Springbank Prestonfield
,1978.0,,49.20%,700,1931.4,Glenfiddich Private Vintage (Virgin Atlantic),"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenfiddich,Glenfiddich Private
18.0,1976.0,1994.0,43.00%,750,1823.73,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
18.0,1980.0,1998.0,43.00%,700,1168.8300000000004,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
18.0,1990.0,2008.0,60.00%,700,2528.580000000001,Yamazaki The Cask of Yamazaki (Sherry Butt),"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Yamazaki,Yamazaki The
34.0,1968.0,2002.0,43.80%,700,1418.5800000000006,Bunnahabhain Auld Acquaintance,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Bunnahabhain,Bunnahabhain Auld
20.0,1968.0,1988.0,43.00%,750,2723.94,Caol Ila,"Intertrade, Islay Single Malt",Intertrade,Islay,UK,Caol,Caol Ila
20.0,1993.0,2013.0,61.10%,700,1471.86,Karuizawa 132.3,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society,Japan,JP,Karuizawa,Karuizawa 132.3
35.0,1968.0,2003.0,40.30%,700,1242.09,Macallan,"Celtic Heartlands, Speyside Single Malt",Celtic Heartlands,Speyside,UK,Macallan,Macallan
26.0,1967.0,1993.0,51.70%,700,2161.17,Rosebank,"Signatory Vintage, Lowlands Single Malt",Signatory Vintage,Lowlands,UK,Rosebank,Rosebank
21.0,1951.0,1972.0,43.00%,750,1753.8000000000006,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt",Gordon & MacPhail,Islands,UK,Talisker,Talisker Connoisseurs
48.0,1966.0,2014.0,43.00%,700,1608.39,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan Speymalt
48.0,1938.0,1986.0,40.00%,750,1509.6,Glenlivet,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Glenlivet,Glenlivet
30.0,1979.0,2009.0,57.70%,700,1098.9,Port Ellen 9th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
24.0,1978.0,2002.0,59.35%,700,1108.89,Port Ellen 2nd Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
25.0,1978.0,2003.0,56.20%,700,1302.0300000000002,Port Ellen 4th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
31.0,1978.0,2009.0,54.60%,700,1243.2,Port Ellen 10th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
18.0,1988.0,2006.0,58.30%,700,1022.31,Karuizawa Single Cask,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Single
21.0,1985.0,2007.0,56.50%,700,1254.3000000000004,Lagavulin 2007 Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Lagavulin,Lagavulin 2007
39.0,1972.0,2011.0,45.00%,700,955.71,Longmorn,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Longmorn,Longmorn
18.0,1985.0,2003.0,43.00%,700,819.1800000000003,Macallan,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Macallan,Macallan
15.0,1977.0,1992.0,63.10%,700,1729.38,Rosebank 25.5,"Scotch Malt Whisky Society, Lowlands Single Malt",Scotch Malt Whisky Society,Lowlands,UK,Rosebank,Rosebank 25.5
24.0,1979.0,2003.0,57.30%,700,1035.63,Port Ellen 3rd Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
57.0,1950.0,2007.0,40.00%,700,1835.94,Glen Grant,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Glen,Glen Grant
17.0,1996.0,2013.0,61.70%,700,1149.96,Karuizawa 132.4,"Scotch Malt Whisky Society, Japan Single Malt",Scotch Malt Whisky Society,Japan,JP,Karuizawa,Karuizawa 132.4
15.0,2000.0,2015.0,61.10%,700,1951.38,Karuizawa Geisha Label (Sherry Cask),"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Geisha
16.0,2000.0,2016.0,59.00%,700,1825.9500000000005,Karuizawa Geisha Label (Cask Strength),"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Karuizawa,Karuizawa Geisha
