25,NA,NA,48.80%,500 ml,5,126,1140 €,Macallan,"That Boutique-y Whisky Company, Speyside Single Malt"
30,NA,NA,46.50%,500 ml,7,272,1195 €,Macallan,"That Boutique-y Whisky Company, Speyside Single Malt"
NA,NA,NA,42.80%,700 ml,NA,NA,118 €,Macallan Whisky Makers Edition (1930´s Locomotive),"Original Bottling, Speyside Single Malt"
NA,NA,NA,42.80%,700 ml,NA,NA,101 €,Macallan Whisky Makers Edition (1930´s Propeller),"Original Bottling, Speyside Single Malt"
12,1979,1991,55.20%,50 ml,NA,NA,34 €,Macallan Glenlivet,"Cadenhead, Speyside Single Malt"
18,1963,1981,40.00%,750 ml,NA,NA,353 €,Macduff Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Highlands Single Malt"
31,1972,2003,46.00%,700 ml,2348,NA,223 €,Macduff First Cask,"Direct Wines, Highlands Single Malt"
19,1995,2014,55.30%,700 ml,7870,225,82 €,Miltonduff Cask Strength,"Signatory Vintage, Speyside Single Malt"
50,1938,1988,40.00%,750 ml,NA,NA,2577 €,Macallan,"Gordon & MacPhail, Speyside Single Malt"
12,NA,NA,43.00%,700 ml,NA,NA,53 €,Mannochmore Flora & Fauna,"Original Bottling, Speyside Single Malt"
12,NA,NA,43.00%,700 ml,NA,NA,124 €,Mannochmore Flora & Fauna (1st Edition),"Original Bottling, Speyside Single Malt"
27,1982,2009,58.40%,700 ml,NA,221,198 €,Mannochmore,"Cadenhead, Speyside Single Malt"
NA,2013,NA,55.00%,700 ml,1706,591,327 €,Shinshu Mars Komagatake (Single Cask),"Original Bottling, Japan Single Malt"
13,1979,1992,62.30%,700 ml,NA,NA,307 €,Millburn 87.2,"Scotch Malt Whisky Society, Highlands Single Malt"
38,1978,2016,46.50%,700 ml,NA,180,289 €,Miltonduff Authentic Collection,"Cadenhead, Speyside Single Malt"
20,1984,2004,50.00%,700 ml,NA,277,135 €,Miltonduff The Old Malt Cask,"Douglas Laing, Speyside Single Malt"
17,1995,2012,56.80%,700 ml,NA,192,74 €,Miltonduff,"Malts of Scotland, Speyside Single Malt"
12,NA,NA,43.00%,750 ml,NA,NA,93 €,Miltonduff Glenlivet (1970s),"Original Bottling, Speyside Single Malt"
NA,1988,NA,50.00%,700 ml,NA,NA,1275 €,Miyagikyo,"Original Bottling, Japan Single Malt"
NA,NA,NA,57.00%,500 ml,NA,NA,143 €,Miyagikyo 2000 (Cask Strength),"Original Bottling, Japan Single Malt"
10,NA,NA,40.00%,700 ml,NA,NA,71 €,Mortlach Sandyhills Golf Club Centenary,"Original Bottling, Speyside Single Malt"
13,1980,1993,60.30%,700 ml,NA,NA,222 €,Mortlach 76.10,"Scotch Malt Whisky Society, Speyside Single Malt"
20,1982,2002,57.50%,700 ml,NA,NA,283 €,Mortlach 76.32,"Scotch Malt Whisky Society, Speyside Single Malt"
25,1986,2011,58.80%,700 ml,NA,242,207 €,Mortlach 76.110,"Scotch Malt Whisky Society, Speyside Single Malt"
21,1994,2015,53.20%,700 ml,NA,252,107 €,Mortlach,"Cadenhead, Speyside Single Malt"
13,2003,2016,46.00%,700 ml,NA,NA,76 €,Mortlach,"Cadenhead, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,NA,93 €,Miyagikyo Date,"Original Bottling, Japan Blend"
NA,NA,NA,40.00%,640 ml,NA,NA,74 €,Miyagikyo The Masamune,"Original Bottling, Japan Blend"
19,1981,2000,43.00%,700 ml,NA,NA,207 €,Brechin Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
24,1976,2000,46.00%,700 ml,NA,NA,221 €,North Port First Cask,"Direct Wines, Highlands Single Malt"
26,1976,2002,50.00%,700 ml,NA,120,341 €,North Port,"Silver Seal, Highlands Single Malt"
14,NA,NA,43.00%,700 ml,NA,NA,41 €,Oban,"Original Bottling, Highlands Single Malt"
7,2007,2014,69.50%,700 ml,NA,1695,381 €,Octomore (Feis Ile 2014),"Original Bottling, Islay Single Malt"
