0,1,2,3,4,5,6,7,8,9
NA,NA,NA,57.70%,700 ml,NA,3690,1802 €,Hanyu Joker Colour (Ichiro´s Malt Card),"Original Bottling, Japan Single Malt"
30,NA,NA,43.00%,700 ml,NA,NA,1890 €,Macallan Fine Oak (Blue Ribbon),"Original Bottling, Speyside Single Malt"
33,1973,2006,45.00%,700 ml,NA,1000,1511 €,Dalmore Cabernet Sauvignon (Haut Marbuzet Finish),"Original Bottling, Highlands Single Malt"
28,1984,2012,59.30%,700 ml,7975,NA,2022 €,Karuizawa Cockatil Series,"Original Bottling, Japan Single Malt"
30,1976,2006,45.30%,700 ml,2749,NA,994 €,Macallan Single Cask,"Adelphi, Speyside Single Malt"
40,NA,NA,51.30%,700 ml,NA,NA,2033 €,Pulteney,"Original Bottling, Highlands Single Malt"
NA,1938,NA,40.00%,750 ml,NA,NA,2309 €,Macallan Pride of Strathspey (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
12,NA,NA,43.00%,700 ml,NA,NA,1573 €,Speyburn Flora & Fauna,"Original Bottling, Speyside Single Malt"
25,1991,2016,52.70%,700 ml,NA,522,2567 €,Lagavulin 200th Anniversary,"Original Bottling, Islay Single Malt"
NA,1967,NA,43.00%,700 ml,NA,NA,2119 €,Glen Garioch,"Original Bottling, Highlands Single Malt"
10,NA,NA,58.10%,1000 ml,NA,NA,830 €,Macallan Cask Strength (Old Style),"Original Bottling, Speyside Single Malt"
25,1964,1989,43.00%,750 ml,NA,NA,2981 €,Macallan Anniversary Malt (Giovinetti and Figli),"Original Bottling, Speyside Single Malt"
53,1939,1992,40.00%,700 ml,NA,NA,2056 €,Linkwood,"Gordon & MacPhail, Speyside Single Malt"
NA,NA,2016,48.00%,700 ml,NA,5000,2041 €,Yamazaki Sherry Cask 2016,"Original Bottling, Japan Single Malt"
40,NA,NA,41.70%,700 ml,NA,NA,2215 €,Bunnahabhain,"Original Bottling, Islay Single Malt"
30,NA,NA,43.00%,750 ml,NA,NA,1125 €,Bowmore Kranna Dubh,"Original Bottling, Islay Single Malt"
18,1974,1992,43.00%,700 ml,NA,NA,1360 €,Macallan,"Original Bottling, Speyside Single Malt"
40,1974,2014,40.80%,700 ml,1,NA,1401 €,Ladyburn 2014 Release,"Original Bottling, Lowlands Single Malt"
21,1952,1973,43.00%,750 ml,NA,NA,1839 €,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt"
30,1968,1998,49.20%,700 ml,13142,186,1671 €,Glenfiddich Vintage Reserve,"Original Bottling, Speyside Single Malt"
NA,1967,NA,46.00%,750 ml,2108,NA,1863 €,Springbank Prestonfield,"Pipe House, Campbeltown Single Malt"
30,NA,NA,43.00%,700 ml,NA,NA,1401 €,Bowmore Sea Dragon,"Original Bottling, Islay Single Malt"
NA,1978,NA,49.20%,700 ml,28136,NA,1740 €,Glenfiddich Private Vintage (Virgin Atlantic),"Original Bottling, Speyside Single Malt"
18,1976,1994,43.00%,750 ml,NA,NA,1643 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1980,1998,43.00%,700 ml,NA,NA,1053 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1990,2008,60.00%,700 ml,on70645,471,2278 €,Yamazaki The Cask of Yamazaki (Sherry Butt),"Original Bottling, Japan Single Malt"
NA,NA,NA,46.80%,700 ml,4,NA,948 €,Balvenie TUN 1858,"Original Bottling, Speyside Single Malt"
34,1968,2002,43.80%,700 ml,NA,2002,1278 €,Bunnahabhain Auld Acquaintance,"Original Bottling, Islay Single Malt"
30,NA,NA,43.00%,750 ml,NA,NA,1334 €,Bowmore Sea Dragon,"Original Bottling, Islay Single Malt"
30,NA,2002,52.40%,700 ml,NA,3000,1226 €,Brora 2002 Release,"Original Bottling, Highlands Single Malt"
20,1968,1988,43.00%,750 ml,NA,318,2454 €,Caol Ila,"Intertrade, Islay Single Malt"
34,NA,NA,40.00%,750 ml,NA,NA,1050 €,Glenlivet Special Export Reserve (150th Anniversary ),"Original Bottling, Speyside Single Malt"
20,1993,2013,61.10%,700 ml,NA,344,1326 €,Karuizawa 132.3,"Scotch Malt Whisky Society, Japan Single Malt"
34,NA,1970,40.00%,750 ml,NA,NA,1885 €,Rosebank (Sestante Import),"George Strachan Ltd. of Deeside, Lowlands Single Malt"
35,1968,2003,40.30%,700 ml,NA,726,1119 €,Macallan,"Celtic Heartlands, Speyside Single Malt"
8,NA,NA,45.20%,700 ml,NA,550,557 €,Macallan Easter Elchies (Seasonal Selection),"Original Bottling, Speyside Single Malt"
26,1967,1993,51.70%,700 ml,4397/8,250,1947 €,Rosebank,"Signatory Vintage, Lowlands Single Malt"
21,1951,1972,43.00%,750 ml,NA,NA,1580 €,Talisker Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Islands Single Malt"
48,1966,2014,43.00%,700 ml,NA,NA,1449 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
48,1938,1986,40.00%,750 ml,NA,NA,1360 €,Glenlivet,"Gordon & MacPhail, Speyside Single Malt"
30,1979,2009,57.70%,700 ml,NA,5916,990 €,Port Ellen 9th Annual Release,"Original Bottling, Islay Single Malt"
24,1978,2002,59.35%,700 ml,NA,12000,999 €,Port Ellen 2nd Annual Release,"Original Bottling, Islay Single Malt"
15,NA,NA,43.00%,700 ml,NA,NA,1301 €,Macallan Gran Reserva,"Original Bottling, Speyside Single Malt"
25,1978,2003,56.20%,700 ml,NA,5100,1173 €,Port Ellen 4th Annual Release,"Original Bottling, Islay Single Malt"
31,1978,2009,54.60%,700 ml,NA,3000,1120 €,Port Ellen 10th Annual Release,"Original Bottling, Islay Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,2247 €,Hakushu,"Original Bottling, Japan Single Malt"
18,1988,2006,58.30%,700 ml,NA,120,921 €,Karuizawa Single Cask,"Original Bottling, Japan Single Malt"
21,1985,2007,56.50%,700 ml,NA,6642,1130 €,Lagavulin 2007 Release,"Original Bottling, Islay Single Malt"
39,1972,2011,45.00%,700 ml,1090,NA,861 €,Longmorn,"Gordon & MacPhail, Speyside Single Malt"
18,1985,2003,43.00%,700 ml,NA,NA,738 €,Macallan,"Original Bottling, Speyside Single Malt"
15,1977,1992,63.10%,700 ml,NA,NA,1558 €,Rosebank 25.5,"Scotch Malt Whisky Society, Lowlands Single Malt"
24,1979,2003,57.30%,700 ml,NA,9000,933 €,Port Ellen 3rd Annual Release,"Original Bottling, Islay Single Malt"
57,1950,2007,40.00%,700 ml,NA,NA,1654 €,Glen Grant,"Gordon & MacPhail, Speyside Single Malt"
17,1996,2013,61.70%,700 ml,NA,346,1036 €,Karuizawa 132.4,"Scotch Malt Whisky Society, Japan Single Malt"
15,2000,2015,61.10%,700 ml,2339,225,1758 €,Karuizawa Geisha Label (Sherry Cask),"Original Bottling, Japan Single Malt"
16,2000,2016,59.00%,700 ml,7721,367,1645 €,Karuizawa Geisha Label (Cask Strength),"Original Bottling, Japan Single Malt"
58,1954,2012,43.00%,700 ml,494,NA,1752 €,Mortlach,"Gordon & MacPhail, Speyside Single Malt"
32,1979,2011,52.50%,700 ml,NA,2964,1438 €,Port Ellen 12th Annual Release,"Original Bottling, Islay Single Malt"
35,1937,1972,43.00%,750 ml,NA,NA,1616 €,Strathisla Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt"
35,1976,2011,43.40%,700 ml,NA,211,1279 €,Laphroaig,"Scotia Royale, Islay Single Malt"
56,1948,2004,40.00%,700 ml,384,NA,1886 €,Strathisla,"Gordon & MacPhail, Speyside Single Malt"
30,1964,1994,54.10%,700 ml,4996,480,1101 €,Glenfarclas,"Signatory Vintage, Speyside Single Malt"
30,NA,2000,43.00%,750 ml,NA,NA,1294 €,Laphroaig,"Original Bottling, Islay Single Malt"
46,1954,2000,43.00%,700 ml,NA,1193,1154 €,Glenfarclas,"Original Bottling, Speyside Single Malt"
37,1973,2010,50.60%,700 ml,NA,NA,1292 €,Highland Park,"Original Bottling, Islands Single Malt"
25,NA,NA,40.00%,750 ml,NA,NA,1329 €,Macallan (Giorgio Morelli),"Gordon & MacPhail, Speyside Single Malt"
19,1979,1998,61.00%,750 ml,NA,NA,1531 €,North Port Rare Malts,"Original Bottling, Highlands Single Malt"
22,1959,1981,46.00%,750 ml,NA,NA,1038 €,Teaninich,"Samaroli, Highlands Single Malt"
38,NA,2016,48.60%,700 ml,NA,2904,1594 €,Brora 2016 Release,"Original Bottling, Highlands Single Malt"
18,1958,1976,43.00%,750 ml,NA,NA,1164 €,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt"
10,NA,NA,43.00%,750 ml,NA,NA,707 €,Laphroaig Pre Royal Warrant (Unblended),"Original Bottling, Islay Single Malt"
27,1978,2005,54.20%,700 ml,NA,4560,991 €,Port Ellen 6th Annual Release,"Original Bottling, Islay Single Malt"
18,1972,1990,43.00%,750 ml,NA,NA,911 €,Glendronach,"Original Bottling, Highlands Single Malt"
18,1960,1978,43.00%,750 ml,NA,NA,828 €,Highland Park,"Original Bottling, Islands Single Malt"
