,Year,Precipitation,Temperature,country,Max Temperature_x,Min Temperature_x,Max Temperature_y,Min Temperature_y
202,1988,3.1280500000000204,14.568356770439793,Scotland,,,11.996206581352816,5.14430037817396
203,1989,2.3590113285273047,14.979556941920887,Scotland,,,12.444597156398098,5.069919571045569
204,1990,3.187437686939205,15.03387889454144,Scotland,,,12.436621751684307,5.194514285714278
205,1991,2.6779240506329285,14.448130516657713,Scotland,,,11.968186226964118,4.959888579387185
206,1992,3.2134751773049848,14.319503827626386,Scotland,,,11.95203730976925,4.73493303571428
207,1993,2.994052419354845,13.475823617784245,Scotland,,,11.211167985109393,4.5293112653497065
208,1994,3.2402051282051403,14.23130712887157,Scotland,,,11.81968225948808,4.823249738766983
209,1995,2.8819148936170285,14.874823568142402,Scotland,,,12.375935828877013,4.997775478530778
210,1996,2.7578364116095044,14.007009312853748,Scotland,,,11.569619131975193,4.874780361757108
211,1997,2.9108008429926238,15.52876067924086,Scotland,,,12.706444444444461,5.6446324695928025
212,1998,3.3203372508942413,14.7847224026167,Scotland,,,12.09317573595004,5.383093333333321
213,1999,2.9139326800170915,15.033238431412935,Scotland,,,12.301209677419328,5.4640575079872145
214,2000,4.034401972873037,14.779256525078607,Scotland,,,12.240618860510777,5.077275329135657
215,2001,3.2406731317741304,14.064141158480314,Scotland,,,11.798156028368792,4.531970260223047
216,2002,3.9481401617250937,14.807007103819394,Scotland,,,12.38391539596657,4.84618341570565
217,2003,2.215014299332704,14.322894131362366,Scotland,,,12.8377448385389,2.9702985856469364
218,2004,3.0506012506012645,13.555997645203286,Scotland,,,12.400163043478274,2.311669203450025
219,2005,2.663588621444224,14.732142945041971,Scotland,,,12.471951219512201,4.5203834510595415
220,2006,2.5359368836292253,15.203224853982793,Scotland,,,12.808910295002985,4.788629117959617
221,2007,2.5903595416831613,14.863119679090655,Scotland,,,12.537199765670742,4.651839826839822
222,2008,2.7585433070866405,13.284823320768414,Scotland,,,12.258376214979991,2.0528942115768465
223,2009,2.9830914083954863,14.28332938127739,Scotland,,,12.380132450331098,3.8063938618925808
224,2010,2.3147360126083747,13.537212410195274,Scotland,,,11.51164074259907,4.051143335192412
225,2011,2.8120253164557205,15.395981179754216,Scotland,,,12.695843892549393,5.400274574409652
226,2012,2.674558996471994,14.098866066836235,Scotland,,,11.774387193596803,4.648957746478861
227,2013,2.387790468688487,14.829121241097331,Scotland,,,12.308174770965449,5.0418929402637644
228,2014,2.9459724950884367,15.711533492413304,Scotland,,,12.78651973347,5.850027517886615
229,2015,2.9942599425994536,14.880465527800643,Scotland,,,12.37840603123314,5.004118993135003
230,2016,2.7535056967572604,14.281478044691124,Scotland,,,11.625897435897446,5.311161217587365
231,2017,2.9028500619578934,14.959843906399364,Scotland,,,12.153464499572287,5.612758813654152
232,2018,2.8020202020202385,15.35219856256417,Scotland,,,12.842105263157894,5.020186598812551
233,2019,2.6087567567567547,,Scotland,,,11.440845070422535,3.5944134078212264
