vintage,age,ABV,score,price,country,style,precip,temp
1989,14.0,58.20%,84,75,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1997,9.0,46.00%,84,70,UK,Single Malt Scotch,2.910800842992624,15.52876067924086
1989,10.0,40.00%,84,50,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
2016,26.0,55.10%,84,180,UK,Single Grain Whisky,2.7535056967572604,14.281478044691124
2014,25.0,52.40%,84,475,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
2009,9.0,52.00%,84,80,UK,Single Grain Whisky,2.9830914083954863,14.28332938127739
2010,6.0,46.00%,84,80,UK,Blended Malt Scotch Whisky,2.3147360126083747,13.537212410195274
1975,30.0,43.50%,83,225,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1992,16.0,53.50%,83,120,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1999,11.0,46.00%,83,55,UK,Single Malt Scotch,2.9139326800170915,15.033238431412935
1991,15.0,46.00%,83,85,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1991,13.0,46.00%,83,45,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1989,20.0,53.20%,83,125,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1973,30.0,46.00%,83,100,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
1974,31.0,45.40%,83,440,UK,Single Malt Scotch,2.3416938110749443,14.054673005489633
2014,12.0,54.40%,83,130,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1999,7.0,58.00%,83,45,UK,Single Malt Scotch,2.9139326800170915,15.033238431412935
1982,21.0,63.50%,83,220,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
1989,15.0,46.00%,83,65,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1990,14.0,46.00%,83,70,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1989,16.0,46.00%,83,70,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1989,18.0,43.00%,83,90,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
2003,10.0,56.30%,83,90,UK,Single Malt Scotch,2.2150142993327044,14.322894131362364
2004,10.0,57.40%,83,95,UK,Single Malt Scotch,3.0506012506012645,13.555997645203286
1990,25.0,51.50%,83,126,UK,Single Grain Whisky,3.187437686939205,15.03387889454144
1992,12.0,46.00%,82,55,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1973,32.0,55.50%,82,700,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
1991,12.0,40.00%,82,60,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
2000,13.0,53.50%,82,100,UK,Single Malt Scotch,4.034401972873037,14.779256525078607
1996,11.0,57.50%,82,90,UK,Single Malt Scotch,2.7578364116095044,14.007009312853748
1978,31.0,51.20%,82,288,UK,Single Malt Scotch,2.462170790103774,13.541765044858787
1978,27.0,,82,90,UK,Single Malt Scotch,2.462170790103774,13.541765044858787
1994,12.0,46.00%,82,60,UK,Single Malt Scotch,3.2402051282051403,14.23130712887157
1979,23.0,56.60%,82,115,UK,Single Malt Scotch,2.6527032438926983,12.719560808547714
1975,28.0,46.00%,82,100,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1990,15.0,46.00%,82,65,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1979,27.0,54.10%,82,200,UK,Single Malt Scotch,2.6527032438926983,12.719560808547714
1990,15.0,56.60%,82,100,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1989,13.0,46.00%,82,48,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1983,21.0,52.40%,81,145,UK,Single Malt Scotch,2.5845584607795,14.750514929706357
2005,10.0,50.90%,78,57,UK,Single Grain Whisky,2.663588621444224,14.732142945041973
1990,25.0,51.50%,77,129,UK,Single Grain Whisky,3.187437686939205,15.03387889454144
1986,18.0,57.50%,81,140,UK,Single Malt Scotch,3.019050000000024,13.127477389763186
1979,26.0,43.00%,81,135,UK,Single Malt Scotch,2.6527032438926983,12.719560808547714
2011,12.0,64.00%,81,84,UK,Single Malt Scotch,2.8120253164557205,15.395981179754214
1991,10.0,53.60%,81,63,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1991,14.0,56.70%,81,80,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1992,12.0,58.10%,81,70,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1991,16.0,46.00%,81,90,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1973,33.0,47.50%,81,300,UK,Single Malt Scotch,2.141950207468896,14.013066348271868
2006,5.0,46.00%,81,75,UK,Single Malt Scotch,2.5359368836292253,15.203224853982793
2005,9.0,57.50%,80,576,UK,Single Malt Scotch,2.663588621444224,14.732142945041973
2012,12.0,54.30%,80,94,UK,Single Malt Scotch,2.674558996471994,14.098866066836235
2014,10.0,56.60%,80,160,UK,Single Malt Scotch,2.9459724950884367,15.711533492413304
1979,26.0,57.10%,80,200,UK,Single Malt Scotch,2.6527032438926983,12.719560808547714
1992,10.0,46.00%,80,65,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1975,30.0,54.40%,80,200,UK,Single Malt Scotch,2.0664646464646643,14.542543998910404
1993,17.0,60.50%,80,104,UK,Single Malt Scotch,2.9940524193548455,13.475823617784245
1990,15.0,52.70%,80,75,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1981,24.0,58.00%,80,225,UK,Single Malt Scotch,2.577374301676003,13.575082441459406
1997,10.0,58.20%,80,75,UK,Single Malt Scotch,2.910800842992624,15.52876067924086
2008,6.0,46.00%,80,85,UK,Single Malt Scotch,2.7585433070866405,13.284823320768414
2007,5.0,61.00%,80,200,UK,Single Malt Scotch,2.5903595416831613,14.863119679090655
1976,28.0,43.00%,79,150,UK,Single Malt Scotch,2.1732724384432256,14.501037920889175
1989,16.0,50.00%,79,80,UK,Single Malt Scotch,2.3590113285273047,14.979556941920887
1991,15.0,46.00%,79,55,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1998,8.0,46.00%,79,65,UK,Single Malt Scotch,3.3203372508942413,14.7847224026167
1990,15.0,56.30%,79,80,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1980,24.0,58.00%,79,185,UK,Single Malt Scotch,2.6509119746233423,13.813051614560447
1986,19.0,53.80%,79,120,UK,Single Malt Scotch,3.019050000000024,13.127477389763186
1991,13.0,59.30%,79,100,UK,Single Malt Scotch,2.6779240506329285,14.448130516657713
1990,16.0,53.80%,78,85,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1990,14.0,46.00%,78,43,UK,Single Malt Scotch,3.187437686939205,15.03387889454144
1997,9.0,59.90%,77,45,UK,Single Malt Scotch,2.910800842992624,15.52876067924086
2011,25.0,43.00%,75,220,UK,Single Malt Scotch,2.8120253164557205,15.395981179754214
1982,24.0,40.00%,73,250,UK,Single Malt Scotch,3.2124936515998166,14.421311714121478
1997,9.0,45.00%,72,60,UK,Single Malt Scotch,2.910800842992624,15.52876067924086
1998,8.0,45.00%,71,60,UK,Single Malt Scotch,3.3203372508942413,14.7847224026167
1981,25.0,55.00%,70,225,UK,Single Malt Scotch,2.577374301676003,13.575082441459406
1992,33.0,45.00%,63,60,UK,Single Malt Scotch,3.2134751773049848,14.319503827626386
1984,22.0,68.35%,96,175,US,Rye Whisky,55.44433333333333,6.770079999999999
2012,18.0,45.00%,95,70,US,Rye Whisky,52.15591666666668,8.173909166666666
2005,18.0,45.00%,95,50,US,Rye Whisky,54.7526,7.931033333333333
1991,17.0,47.00%,96,90,US,Bourbon,56.847175,7.565831666666665
2013,18.0,45.00%,95,70,US,Bourbon,58.49023333333333,7.329438333333332
2012,17.0,45.00%,94,70,US,Bourbon,52.15591666666668,8.173909166666666
2013,17.0,45.00%,94,70,US,Bourbon,58.49023333333333,7.329438333333332
2010,10.0,63.90%,93,80,US,Bourbon,55.43608333333333,7.591250000000001
2016,7.0,50.50%,92,100,US,Bourbon,57.06392500000001,9.030836666666668
1997,12.0,47.50%,91,50,US,Bourbon,55.71192500000001,7.090644166666666
2013,12.0,49.00%,91,55,US,Bourbon,58.49023333333333,7.329438333333332
1993,17.0,45.00%,90,47,US,Bourbon,58.93289999999999,7.096323333333332
1991,13.0,45.40%,90,60,US,Bourbon,56.847175,7.565831666666665
2011,12.0,50.90%,90,90,US,Bourbon,56.06388333333334,7.548140000000001
2016,20.0,57.10%,90,600,US,Bourbon,57.06392500000001,9.030836666666668
1989,21.0,45.00%,89,47,US,Bourbon,54.37875833333334,6.852802499999999
1991,19.0,45.00%,88,47,US,Bourbon,56.847175,7.565831666666665
2006,17.0,45.00%,88,55,US,Bourbon,53.84495,7.9716691666666675
1993,13.0,48.00%,88,35,US,Bourbon,58.93289999999999,7.096323333333332
2015,12.0,50.00%,88,75,US,Bourbon,63.46590833333333,8.481253333333333
2014,12.0,48.50%,85,60,US,Bourbon,57.03195,7.7823699999999985
1993,12.0,48.00%,83,40,US,Bourbon,58.93289999999999,7.096323333333332
1990,24.0,50.00%,78,250,US,Bourbon,59.23868333333334,7.451195833333334
