Index,Maker,Year Distrilled,age in cast,ABV,Single Malt Scotch,Flavored Whiskey and Liqueurs,Bourbon, Blended Malt Scotch Whisky ,Blended Scotch Whisky,Blended Whiskey (Multi-country), Single Malt Whisky (Multi-country), Single Grain Whisky (Multi-country),Japan, Canada,Irish,Generic Whisky (Multi-country),Rye Whisky,White Whisky,Craft Whisky,SUM,Review Score (Points), price ,Original Style,country
3858,Teerenpeli,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$87 ,Single Malt Finnish Whisky,FI
3859,Teerenpeli,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,88,$61 ,Single Malt Finnish Whisky,FI
3873,The MacTarnahan,,15 years old,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$250 ,Unspecified Single Malt,UK
4028,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$81 ,Single Malt Swedish Whisky,SE
4029,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$73 ,Single Malt Swedish Whisky,SE
4030,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$68 ,Single Malt Swedish Whisky,SE
4049,St. George,,,59.70%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$103 ,Single Malt English Whisky,UK
4050,St. George,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$104 ,Single Malt English Whisky,UK
4051,St. George,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$80 ,Single Malt English Whisky,UK
4052,St. George,,,50.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$130 ,Single Malt English Whisky,UK
4060,Bastille,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$64 ,Single Malt French Whisky,FR
4064,Spirit of Hven,,,41.80%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$132 ,Single Malt Swedish Whisky,SE
4087,The English Whisky Co.,,,55.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$90 ,Single Malt English Whisky,UK
4088,Box,,,48.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$95 ,Single Malt Swedish Whisky,SE
4100,Cotswolds,,,60.90%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$86 ,Single Malt English Whisky,UK
4109,Restless Spirits Gullytown,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87,$60 ,Single Malt American Whisky,US
4253,Mackmyra,,,46.40%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$162 ,Single Malt Swedish Whisky,SE
4254,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$71 ,Single Malt Swedish Whisky,SE
4271,St. George,,,60.80%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$230 ,Single Malt English Whisky,UK
4283,St. George,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$100 ,Single Malt American Whisky,US
4288,Spirit of Hven,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$179 ,Single Malt Swedish Whisky,SE
4310,Smögen,,,63.70%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86,$147 ,Single Malt Swedish Whisky,SE
4451,Mackmyra,,,55.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,$192 ,Single Malt Swedish Whisky,SE
4476,Brenne,2016,10 years old,48.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,$100 ,Single Malt French Whisky,FR
4480,Spirit of Hven,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,$124 ,Single Malt Swedish Whisky,SE
4481,Spirit of Hven,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,$90 ,Single Malt Swedish Whisky,SE
4493,Box,,,51.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,85,$140 ,Single Malt Swedish Whisky,SE
4616,Mackmyra,,,45.80%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$98 ,Single Malt Swedish Whisky,SE
4627,Brenne,2015,10 years old,48.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$120 ,Single Malt French Whisky,FR
4630,Spirit of Hven,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$124 ,Single Malt Swedish Whisky,SE
4639,Gordon & MacPhail,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$91 ,Single Malt English Whisky,UK
4642,The English Whisky Co.,,,53.40%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$87 ,Single Malt English Whisky,UK
4649,Teerenpeli,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,84,$87 ,Single Malt Finnish Whisky,FI
4655,Michel Couvreur,,10 years old,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$58 ,Unspecified Single Malt,UK
4659,Woodford Reserve,,,45.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$100 ,Single Malt American Whisky,US
4744,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$64 ,Single Malt Swedish Whisky,SE
4759,St. George,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$72 ,Single Malt English Whisky,UK
4760,St. George,,,59.30%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$230 ,Single Malt English Whisky,UK
4761,Woodstone Creek,,,46.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$118 ,Single Malt American Whisky,US
4769,Copper House,,,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$73 ,Single Malt English Whisky,UK
4782,The English Whisky Co.,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$69 ,Single Malt English Whisky,UK
4785,Vicomte,,,40.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$55 ,Single Malt French Whisky,FR
4786,Teerenpeli,,10 years old,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,83,$112 ,Single Malt Finnish Whisky,FI
4789,Michel Couvreur,,12 years old,43.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$58 ,Unspecified Single Malt,UK
4791,Woodford Reserve,,,45.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$100 ,Single Malt American Whisky,US
4851,Old Ballantruan,,,50.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$60 ,Unspecified Single Malt,UK
4852,Mackmyra,,,41.20%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$55 ,Single Malt Swedish Whisky,SE
4853,Mackmyra,,,46.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$81 ,Single Malt Swedish Whisky,SE
4856,The Notch,,,44.40%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$888 ,Single Malt American Whisky,US
4857,The Notch,,,44.40%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$888 ,Single Malt American Whisky,US
4861,Gouden Carolus,,3 years old,40.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$40 ,Single Malt Belgian Whisky,BE
4863,St. George,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$71 ,Single Malt English Whisky,UK
4864,St. George,,,61.10%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$230 ,Single Malt English Whisky,UK
4869,That Boutique-y Whisky Company,,5 years old,49.50%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$50 ,Single Malt English Whisky,UK
4870,Spirit of Hven,,,45.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$179 ,Single Malt Swedish Whisky,SE
4880,The English Whisky Co.,,,46.00%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$69 ,Single Malt English Whisky,UK
